words,meaning,pron,meaning2,meaning3
anterior,前部的,ænˈtɪriər,,
integral,基本的,ˈɪntɪɡrəl,完整的,
hub,中心,hʌb,,
involvement,牵连,ɪnˈvɒlvmənt,包含,
postulate,假设,ˈpɑstʃəˌleɪt,,
segregate,使隔离,ˈsɛgrəˌgeɪt,使分开,
ascribe,归因于,əˈskraɪb,,
conceptualize,使有概念,kənˈsɛptʃuəlˌaɪz,,
parsimonious,节俭的,ˌpɑrsəˈmoʊniəs,吝啬的,
synthesize,合成,ˈsɪnθəˌsaɪz,综合,
plethora,过多,ˈplɛθərə,大量,
comprehend,理解,ˌkɑmpriˈhɛnd,,
apparent,显然的,əˈpɛrənt,,
in vivo,在活体内,ɪn ˈvivoʊ,,
dorsolateral,背外侧的,ˌdɔːsəʊˈlætərəl,,
prefrontal, 前头叶的,pri:'frʌntl,,
posterior,后部的,pɑsˈtɪriər,,
parietal,侧壁的,pəˈraɪətəl,,
ventromedial,腹正中的,ventrəu'mi:diəl,,
corroborate,证实,kəˈrɑbəˌreɪt,使坚固,
underly,位于……之下,'ʌndəli,成为……的基础,
tactile,触觉的,ˈtæktəl,,
auditory,听觉的,ˈɔːdɪtərɪ,,
straightforward,直截了当的,ˈstreɪtˈfɔrwərd,简单的,
circumvent,避免,ˌsɜrkəmˈvɛnt,,
latency,潜伏期,'leitnsi,延迟时间,
transient,短暂的,ˈtrænziənt,,
amplify,增强,ˈæmpləˌfaɪ,扩大,
culmination,顶点,ˌkʌlməˈneɪʃən,完成,
hierarchy,等级制度,ˈhaɪərˌɑrki,,
in this manner,このように,,,
lesion,損傷する,líːʒən,,
controversy,論争,kάntrəv`ɚːsi,,
axis,軸,ˈæksɪs,,
originate,始まる,ərídʒənèɪt,,
autism,自闭症,ˈɔːtɪzəm,,
allocation,分配,ˌæləˈkeɪʃn,,
cascade,小瀑布,kæˈskeɪd,向下传达（信息）,v
comprehension,会得,kὰmprɪhénʃən,理解力,包容力
merge,併合する,mˈɚːdʒ,溶け合わせる,(…を)(…に)溶け込ませる
qualitatively,定性的に,ˌkwɑlʌˈtetɪvli,,
verbalize,言語に表わす,vˈɚːbəlὰɪz,言語化する,(…を)動詞的に用いる
considerably,かなり,kənsídərəbli,相当に,ずいぶん
commission,(職権・任務の)委任,kəmíʃən,委託,委任状
intermediate,中間の,ìnṭɚmíːdiət,,
electroencephalography,脳波記録法,発音が記録されず,脳波記録,
overlay,(…の)上に置く,ˌoʊvɚˈleɪ,(装飾のために)(…を)(…で)(一面に)薄くおおう,上塗りする
tom,トム,tάm,雄,(特に)雄猫
jump,(足を使って上下・左右に)跳ぶ,dʒˈʌmp,跳び上がる,跳躍する
what,何,(h)wάt,どんなもの,何もの
who,だれが,húː,どの人,どんな人
which,(疑問代名詞)  どちら,(h)wítʃ,どれ,どの人
